WilsonReederName;English Name;SpecimenID;Wikipedia Name;Hominoidea;Clade;CerebellarVol;Surface Area;CerebralVol;AbsGI;Folding Length;Folding number;Lambda;Delta;CrusVol_obs1;CrusVol_obs2;CrusVol_obs3;CrusVol_1_3;Body mass species mean;CerebroCerebellar;CerebellarCrus;CerebellarMass;CerebralMass;CrusMass;CerebroCerebellarMass;CerebellarCrusMass
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_David_Yerkes;Chimpanzee;Ape;Hominoidea;4,60519726738838;4,82597421869350;5,46971402708152;3,126181;3,65353015445240;2,201397124320451;13,7571;7,996010;NA;NA;NA;NA;4,72222246396973;0,1366102355936824;NA;0,763791469194313;5,59102665971564;NA;0,1366102355936824;NA
Homo_sapiens;Human;Human_51058;Human;Ape;Hominoidea;5,09644072150455;5,29884472194389;5,98532010494414;4,208692;4,09844699985120;2,621176281775035;11,3432;10,191900;4,54603651427836;4,61494991847624;NA;4,54603651427836;4,81291335664286;0,1291577933608483;0,281576102190366;1,921000000000000;14,87327980769231;0,5409076923076923;0,1291577933608483;0,281576102190366
Homo_sapiens;Human;Human_51060;Human;Ape;Hominoidea;5,12766513035790;5,28994332331368;5,94652321895557;4,376333;4,06367255571161;2,558708570533166;11,5462;11,064200;NA;NA;4,65571454961871;4,65571454961871;4,81291335664286;0,1517546164508896;0,337325691458043;2,064200000000000;13,60222211538462;0,6963076923076923;0,1517546164508896;0,337325691458043
Homo_sapiens;Human;Human_51061;Human;Ape;Hominoidea;5,13097990383103;5,27077495548467;5,92642721325299;4,318564;4,07001758070075;2,648360010980932;10,8380;10,457600;NA;NA;4,62523011244936;4,62523011244936;4,81291335664286;0,1601594949327131;0,312068697716733;2,080015384615385;12,98715000000000;0,6491076923076923;0,1601594949327131;0,312068697716733
Homo_sapiens;Human;Human_51062;Human;Ape;Hominoidea;5,13884877612646;5,24533226563142;5,91900483170637;4,119504;4,03127833012978;2,511883360978874;12,1042;10,318100;4,57814619507236;NA;NA;4,57814619507236;4,81291335664286;0,1658990673125587;0,274977664465799;2,118046153846154;12,76707692307692;0,5824153846153847;0,1658990673125587;0,274977664465799
Homo_sapiens;Human;Human_51063;Human;Ape;Hominoidea;5,14713195596187;5,34151591620167;6,01897483619413;4,409424;4,13241538981817;2,646403726223070;11,0688;10,650200;NA;NA;4,62058365787334;4,62058365787334;4,81291335664286;0,1343250836726075;0,297475841623671;2,158830769230769;16,07168750769231;0,6422000000000000;0,1343250836726075;0,297475841623671
Homo_sapiens;Human;Human_51114;Human;Ape;Hominoidea;5,20252101052072;5,37348086535813;6,08019409643340;4,320500;4,16281539054553;2,705863712283919;11,1675;10,659200;NA;NA;4,66640564849013;4,66640564849013;4,81291335664286;0,1325338805279132;0,290994404436303;2,452492307692308;18,50464423076923;0,7136615384615385;0,1325338805279132;0,290994404436303
Homo_sapiens;Human;Human_51116;Human;Ape;Hominoidea;5,20516916409112;5,37280784500790;6,05468155393890;4,486104;4,15878957863775;2,660865478003869;10,9101;10,913800;4,68366830153300;NA;NA;4,68366830153300;4,81291335664286;0,1414124381394425;0,300953319159283;2,467492307692308;17,44890576923077;0,7426000000000000;0,1414124381394425;0,300953319159284
Homo_sapiens;Human;Human_51118;Human;Ape;Hominoidea;5,22127336273209;5,28423564533591;5,96451310096431;4,201549;4,08908082119285;2,597695185925512;11,1025;10,121800;4,72805332491978;NA;NA;4,72805332491978;4,81291335664286;0,1806176809236573;0,321203273133629;2,560707692307692;14,17750288461538;0,8225076923076923;0,1806176809236573;0,321203273133629
Homo_sapiens;Human;Human_51152;Human;Ape;Hominoidea;5,15841677551284;5,37181349221304;6,05158028479841;4,497203;4,16269013539187;2,653212513775344;10,7713;10,799800;4,61524493402638;NA;4,57328943860420;4,61524493402638;4,81291335664286;0,1278899715380477;0,286304489716563;2,215661538461538;17,32474807692308;0,6343538461538462;0,1278899715380477;0,286304489716563
Homo_sapiens;Human;Human_51153;Human;Ape;Hominoidea;5,20490913832379;5,35465126821961;6,04702458907764;4,353288;4,13926239023574;2,656098202012832;11,3935;10,723800;4,67954599411559;NA;NA;4,67954599411559;4,81291335664286;0,1438416145804180;0,298288737358928;2,466015384615384;17,14396346153846;0,7355846153846154;0,1438416145804180;0,298288737358928
Pan_paniscus;Pygmy chimpanzee;Bonobo_brian;Bonobo;Ape;Hominoidea;4,68492053465348;4,78293725116029;5,38566991077078;3,221117;3,65964043732108;2,049218022670181;11,8912;7,337420;3,82131697059110;NA;NA;3,82131697059110;4,59217675739587;0,1991822453899219;0,136897789605962;1,238065943478261;6,21574448593350;0,1694884910485933;0,1991822453899219;0,136897789605962
Hylobates_lar;Common gibbon;Gibbon_buddy;Gibbon;Ape;Hominoidea;3,93858429556260;4,31324220899887;4,78308462701674;2,754451;3,25271795628117;1,785329835010767;12,1827;5,404060;NA;NA;NA;NA;3,74780009086437;0,1430538889030429;NA;1,551615840571939;10,84637301697945;NA;0,1430538889030429;NA
