WilsonReederName;English Name;SpecimenID;Wikipedia Name;Hominoidea;Clade;CerebellarVol;SurfaceArea;CerebralVol;AbsGI;FoldingLength;FoldingNumber;Lambda;Delta;CrusVol_obs1;CrusVol_obs2;CrusVol_obs3;CrusVol_1_3;BodyMass;CerebroCerebellar;CerebellarCrus;CerebellarMass;CerebralMass;CrusMass;ROC;ROCCrus
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Barbara_Yerkes;Chimpanzee;Ape;Hominoidea;59056,0000000;67348,750000;284481,750000;3,219653;4673,424316;169;13,3086;7,7567100;NA;NA;15174;15174,00;52,750;20,75915238850998;25,6942562991059;1119,545023696682;5393,01895734597;287,6587677725119;43882,000000;34,5790984914088
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Barney_Yerkes;Chimpanzee;Ape;Hominoidea;61711,0000000;77455,585940;302061,312500;3,557721;5252,574707;208;12,3651;8,5636800;16565,00;15879,0000000;NA;16565,00;52,750;20,42995823902474;26,8428643191651;1169,876777251185;5726,28080568720;314,0284360189573;45146,000000;36,6920657422584
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Carl_Yerkes;Chimpanzee;Ape;Hominoidea;39663,0000000;66565,117190;271018,718800;3,286722;4773,478516;198;12,6396;7,6249700;NA;NA;14377;14377,00;52,750;14,63478248868469;36,2478884602778;751,905213270142;5137,79561706161;272,5497630331753;25286,000000;56,8575496322076
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_David_Yerkes;Chimpanzee;Ape;Hominoidea;40290,0000000;66984,484380;294926,656300;3,126181;4503,292480;159;13,7571;7,9960100;11870,00;NA;NA;11870,00;52,750;13,66102355936824;29,4614048150906;763,791469194313;5591,02665971564;225,0236966824644;28420,000000;41,7663617171006
Homo_sapiens;Human;Human_51058;Human;Ape;Hominoidea;124865,0000000;198996,171900;966763,187500;4,208692;12544,316410;418;11,3432;10,1919000;35159,00;41205,0000000;NA;35159,00;65,000;12,91577933608483;28,1576102190366;1921,000000000000;14873,27980769231;540,9076923076923;89706,000000;39,1935879428355
Homo_sapiens;Human;Human_51060;Human;Ape;Hominoidea;134173,0000000;194959,015600;884144,437500;4,376333;11579,040040;362;11,5462;11,0642000;NA;NA;45260;45260,00;65,000;15,17546164508896;33,7325691458043;2064,200000000000;13602,22211538461;696,3076923076923;88913,000000;50,9036923734437
Homo_sapiens;Human;Human_51061;Human;Ape;Hominoidea;135201,0000000;186541,281300;844164,750000;4,318564;11749,451170;445;10,8380;10,4576000;NA;NA;42192;42192,00;65,000;16,01594949327131;31,2068697716733;2080,015384615384;12987,15000000000;649,1076923076923;93009,000000;45,3633519336838
Homo_sapiens;Human;Human_51062;Human;Ape;Hominoidea;137673,0000000;175926,906300;829860,000000;4,119504;10746,779300;325;12,1042;10,3181000;37857,00;NA;NA;37857,00;65,000;16,58990673125587;27,4977664465799;2118,046153846154;12767,07692307692;582,4153846153846;99816,000000;37,9267852849243
Homo_sapiens;Human;Human_51063;Human;Ape;Hominoidea;140324,0000000;219541,140600;1044659,688000;4,409424;13564,862310;443;11,0688;10,6502000;NA;NA;41743;41743,00;65,000;13,43250836726074;29,7475841623671;2158,830769230769;16071,68750769231;642,2000000000000;98581,000000;42,3438593643806
Homo_sapiens;Human;Human_51114;Human;Ape;Hominoidea;159412,0000000;236309,328100;1202801,875000;4,320500;14548,405270;508;11,1675;10,6592000;NA;NA;46388;46388,00;65,000;13,25338805279132;29,0994404436303;2452,492307692308;18504,64423076923;713,6615384615385;113024,000000;41,0426104190260
Homo_sapiens;Human;Human_51116;Human;Ape;Hominoidea;160387,0000000;235943,406300;1134178,875000;4,486104;14414,167970;458;10,9101;10,9138000;48269,00;NA;NA;48269,00;65,000;14,14124381394425;30,0953319159283;2467,492307692308;17448,90576923077;742,6000000000000;112118,000000;43,0519631102945
Homo_sapiens;Human;Human_51118;Human;Ape;Hominoidea;166446,0000000;192413,546900;921537,687500;4,201549;12276,676760;396;11,1025;10,1218000;53463,00;NA;NA;53463,00;65,000;18,06176809236573;32,1203273133629;2560,707692307692;14177,50288461539;822,5076923076923;112983,000000;47,3195082446032
Homo_sapiens;Human;Human_51152;Human;Ape;Hominoidea;144018,0000000;235403,812500;1126108,625000;4,497203;14544,209960;450;10,7713;10,7998000;41233,00;NA;37436;41233,00;65,000;12,78899715380477;28,6304489716563;2215,661538461538;17324,74807692308;634,3538461538461;102785,000000;40,1157756481977
Homo_sapiens;Human;Human_51153;Human;Ape;Hominoidea;160291,0000000;226282,656300;1114357,625000;4,353288;13780,417970;453;11,3935;10,7238000;47813,00;NA;NA;47813,00;65,000;14,38416145804180;29,8288737358928;2466,015384615384;17143,96346153846;735,5846153846154;112478,000000;42,5087572680880
Pan_paniscus;Pygmy chimpanzee;Bonobo_brian;Bonobo;Ape;Hominoidea;48408,3783900;60664,867190;243035,609400;3,221117;4567,099121;112;11,8912;7,3374200;6627,00;NA;NA;6627,00;39,100;19,91822453899218;13,6897789605962;1238,065943478261;6215,74448593350;169,4884910485933;41781,378390;15,8611330103607
Hylobates_lar;Common gibbon;Gibbon_buddy;Gibbon;Ape;Hominoidea;8681,2906280;20570,375000;60685,457030;2,754451;1789,443359;61;12,1827;5,4040600;NA;NA;NA;NA;5,595;14,30538889030429;NA;1551,615840571939;10846,37301697945;NA;NA;NA
